Episódio,Mês,Tem Script,Gravação Final (Editado),Locução / Off / Notas
NJUD 1857,4 - ABRIL,Sim,Faltando,Local (WAV): NJUD 1856 E 57.wav
NJUD 1858,4 - ABRIL,Sim,Faltando,Drive: NJUD 1858 LOC.mp3 / Local (WAV): NJUD 1858 E 59.wav
NJUD 1859,4 - ABRIL,Sim,Faltando,Drive: NJUD 1859 LOC.mp3 / Local (WAV): NJUD 1858 E 59.wav
NJUD 1860,4 - ABRIL,Sim,Faltando,Local (WAV): 60.wav
NJUD 1861,4 - ABRIL,Sim,Faltando,Local (WAV): 61 62.wav
NJUD 1862,4 - ABRIL,Sim,Faltando,Drive: NJUD 1862 NOTAS.mp3 / Local (WAV): 61 62.wav
NJUD 1863,4 - ABRIL,Sim,Faltando,Faltando
NJUD 1864,4 - ABRIL,Sim,Faltando,Faltando
NJUD 1865,5 - MAIO,Sim,Faltando,Drive: NJUD 1865 LOC.mp3
NJUD 1866,5 - MAIO,Sim,Faltando,Drive: NJUD 1866 LOC.mp3
NJUD 1867,5 - MAIO,Sim,Faltando,Faltando
NJUD 1868,5 - MAIO,Sim,Faltando,Drive: NJUD 1868 LOC.mp3
NJUD 1869,5 - MAIO,Sim,Faltando,Faltando
NJUD 1870,5 - MAIO,Sim,Faltando,Faltando
NJUD 1871,5 - MAIO,Sim,Faltando,Faltando
NJUD 1872,5 - MAIO,Sim,Faltando,Drive: NJUD 1872 LOC.mp3
NJUD 1873,5 - MAIO,Sim,Faltando,Faltando
NJUD 1874,5 - MAIO,Sim,Faltando,Drive: NJUD 1874 NOTAS.mp3
NJUD 1875,5 - MAIO,Sim,Faltando,Faltando
NJUD 1876,5 - MAIO,Sim,Faltando,Faltando
NJUD 1877,5 - MAIO,Sim,Faltando,Faltando
NJUD 1878,5 - MAIO,Sim,Faltando,Drive: NJUD 1878 LOC.mp3
NJUD 1879,5 - MAIO,Sim,Faltando,Faltando
NJUD 1880,5 - MAIO,Sim,Faltando,Faltando
NJUD 1881,5 - MAIO,Sim,Faltando,Drive: NJUD 1881 NOTAS.mp3
NJUD 1882,5 - MAIO,Sim,Faltando,Faltando
NJUD 1883,5 - MAIO,Sim,Faltando,Faltando
NJUD 1884,5 - MAIO,Sim,Faltando,Faltando
NJUD 1885,5 - MAIO,Sim,Faltando,Faltando
